epoch,true_class,pred_class,value
1,Urban fabric,Urban fabric,0.0
1,Urban fabric,Industrial or commercial units,0.009901
1,Urban fabric,Arable land,0.282178
1,Urban fabric,Permanent crops,0.0
1,Urban fabric,Pastures,0.0
1,Urban fabric,Complex cultivation patterns,0.014851
1,Urban fabric,Land principally occupied by agriculture,0.0
1,Urban fabric,Agro-forestry areas,0.0
1,Urban fabric,Broad-leaved forest,0.014851
1,Urban fabric,Coniferous forest,0.014851
1,Urban fabric,Mixed forest,0.074257
1,Urban fabric,Natural grassland and sparsely vegetated areas,0.0
1,Urban fabric,"Moors, heathland and sclerophyllous vegetation",0.0
1,Urban fabric,"Transitional woodland, shrub",0.014851
1,Urban fabric,"Beaches, dunes, sands",0.0
1,Urban fabric,Inland wetlands,0.0
1,Urban fabric,Coastal wetlands,0.0
1,Urban fabric,Inland waters,0.0
1,Urban fabric,Marine waters,0.00495
1,Industrial or commercial units,Urban fabric,0.0
1,Industrial or commercial units,Industrial or commercial units,0.065217
1,Industrial or commercial units,Arable land,0.195652
1,Industrial or commercial units,Permanent crops,0.0
1,Industrial or commercial units,Pastures,0.0
1,Industrial or commercial units,Complex cultivation patterns,0.021739
1,Industrial or commercial units,Land principally occupied by agriculture,0.0
1,Industrial or commercial units,Agro-forestry areas,0.0
1,Industrial or commercial units,Broad-leaved forest,0.043478
1,Industrial or commercial units,Coniferous forest,0.065217
1,Industrial or commercial units,Mixed forest,0.065217
1,Industrial or commercial units,Natural grassland and sparsely vegetated areas,0.0
1,Industrial or commercial units,"Moors, heathland and sclerophyllous vegetation",0.0
1,Industrial or commercial units,"Transitional woodland, shrub",0.0
1,Industrial or commercial units,"Beaches, dunes, sands",0.0
1,Industrial or commercial units,Inland wetlands,0.0
1,Industrial or commercial units,Coastal wetlands,0.0
1,Industrial or commercial units,Inland waters,0.0
1,Industrial or commercial units,Marine waters,0.0
1,Arable land,Urban fabric,0.0
1,Arable land,Industrial or commercial units,0.015699
1,Arable land,Arable land,0.252747
1,Arable land,Permanent crops,0.0
1,Arable land,Pastures,0.00157
1,Arable land,Complex cultivation patterns,0.015699
1,Arable land,Land principally occupied by agriculture,0.0
1,Arable land,Agro-forestry areas,0.006279
1,Arable land,Broad-leaved forest,0.050235
1,Arable land,Coniferous forest,0.037677
1,Arable land,Mixed forest,0.119309
1,Arable land,Natural grassland and sparsely vegetated areas,0.0
1,Arable land,"Moors, heathland and sclerophyllous vegetation",0.00157
1,Arable land,"Transitional woodland, shrub",0.010989
1,Arable land,"Beaches, dunes, sands",0.0
1,Arable land,Inland wetlands,0.0
1,Arable land,Coastal wetlands,0.0
1,Arable land,Inland waters,0.0
1,Arable land,Marine waters,0.00157
1,Permanent crops,Urban fabric,0.0
1,Permanent crops,Industrial or commercial units,0.017699
